21	231	105	226	33	188	65	132	92	131	4	151
25	469	435	359	50	264	65	205	105	282	50	335
28	721	680	502	92	837	65	335	308	551	59	697
31	1583	785	1140	205	1076	65	424	469	733	151	697
39	3179	2679	2300	760	3932	435	1238	1266	1809	785	2120
42	3062	3327	3751	733	4748	942	1206	1507	3483	1140	2545
46	3617	4723	4235	1140	4917	1356	1744	2154	4689	2051	3025
49	4235	5443	5668	1206	7536	1206	1744	2257	6046	2355	4156
