21	207	65	105	65	113	50	65	14	28
25	282	180	131	65	205	84	105	38	38
28	551	282	264	92	335	84	151	75	105
31	733	368	469	268	509	207	256	144	170
39	1266	1076	1456	523	980	1432	785	339	551
42	1769	1946	2872	904	1539	2051	1013	1047	887
46	2359	2211	4287	1539	1744	2564	1769	1204	1846
49	2708	2211	4840	2002	2545	5443	2355	1308	2237
