0	500	520	490	510	485	515	500	480	500	500
1	821	841	801	836	806	821	831	811	825	821
2	1143	1173	1113	1138	1144	1168	1163	1123	1140	1145
3	1765	1495	1435	1505	1460	1425	1470	1465	1500	1430
4	1813	1863	1773	1763	1753	1763	1778	1813	1848	1863
5	2100	2190	2160	2040	2100	2010	2100	2030	2170	2100
10	2900	3000	3050	2750	2800	3000	2995	2950	2805	2850
15	3500	3600	3400	3700	3300	3500	3600	3400	3563	3485
